address,price,lat,lon,year
48 Commercial Wharf #48,899000,42.362099,-71.050169,2012
6 Arlington St #9,4867787,42.354791,-71.072323,2008
1 Charles St S #902,807500,42.351787,-71.067367,2014
1 Avery St #31B,3475000,42.35337,-71.062515,2013
1 Avery St #10D,845000,42.35337,-71.062515,2009
1 Avery St #10B,1085000,42.35337,-71.062515,2010
201 Washington St,2.59e+08,42.358182,-71.057956,2002
201 Washington St,2.57e+08,42.358182,-71.057956,2002
1 Charles St S #12H,1345000,42.351787,-71.067367,2013
1 Charles St S #7B,1895000,42.351787,-71.067367,2022
1 Charles St S #7A,1170000,42.351787,-71.067367,2020
1 Charles St S #1606,1935000,42.351787,-71.067367,2018
1 Charles St S #PH1B,4875000,42.351787,-71.067367,2014
1 Charles St S #7G,1342500,42.351787,-71.067367,2008
1 Charles St S #PH1D,1175000,42.351787,-71.067367,2012
1 Charles St S #PH1C,2750000,42.351787,-71.067367,2007
1 Charles St S #812,1185000,42.351787,-71.067367,2018
651-653 Boylston St #1,1580000,42.349951,-71.078197,2009
1 Dalton St #2701,5195000,42.345267,-71.084125,2020
1 Dalton St #3105,5300000,42.345267,-71.084125,2019
1 Dalton St #3803,6300000,42.345267,-71.084125,2019
1 Dalton St #3901,11530000,42.345267,-71.084125,2022
1 Dalton St #4201,10625000,42.345267,-71.084125,2020
1 Dalton St #4502,9250000,42.345267,-71.084125,2020
1 Dalton St #5601,13500000,42.345267,-71.084125,2020
1 Dalton St #2604,6400000,42.345267,-71.084125,2019
1 Dalton St #2605,6400000,42.345267,-71.084125,2019
1 Dalton St #2901,6250000,42.345267,-71.084125,2019
400 Stuart St #25A,6500000,42.348853,-71.074296,2019
1 Dalton St #5001,7e+06,42.345267,-71.084125,2020
1 Dalton St #5702,16905000,42.345267,-71.084125,2020
1 Dalton St #6102,3.4e+07,42.345267,-71.084125,2020
1 Fairfield St,5e+06,42.352014,-71.083471,2020
1 Fairfield Pl #1,405250,42.365432,-71.052907,2008
1 Fairfield Pl #2,405250,42.365432,-71.052907,2008
1 Franklin St #5405,4e+06,42.356057,-71.059157,2021
1 Franklin St #PH3D,6675000,42.356057,-71.059157,2019
1 Garden St #4,770000,42.361064,-71.067029,2014
99 Kneeland St,144500000,0,0,2017
1 Huntington Ave #1001,4700000,42.349359,-71.076991,2019
1 Huntington Ave #208,1700000,42.349359,-71.076991,2017
1 Liberty Sq,50350000,42.329264,-71.053611,2006
1 Louisburg Sq #4,1700000,42.358046,-71.068377,2010
1 Marlborough St #2,1100000,42.352044,-71.082059,2001
150-158 Friend St,3287500,42.363903,-71.060521,2014
1 Otis Pl,6595000,42.357217,-71.071921,2021
100 Lovejoy Wharf #9G,1550000,0,0,2019
9 Hawthorne Pl #4P,283500,42.363479,-71.066446,2008
10 Winthrop Ln,21050000,42.355022,-71.057995,2009
1 Worcester Sq #2,571500,42.337475,-71.075668,2010
10 Claremont Park,3600000,42.342097,-71.082644,2020
10 Concord Sq #3,1500000,42.341755,-71.079273,2022
10 Fairfield St,2400000,42.351876,-71.08315,2007
10 Otis Pl #4B,1750000,42.35712,-71.071928,2019
10 Rutland Sq,1725000,42.341258,-71.077878,2010
24 Temple Pl,24915000,42.3552,-71.061924,2001
10 Wellington St,2550000,42.341128,-71.081361,2022
10-12 Wiget St,3100000,42.364087,-71.056446,2015
10 Arlington St,22500000,42.350634,-71.06997,2017
51 Province St,1050000,42.356904,-71.060208,2007
51 Province St,1337500,42.356904,-71.060208,2007
100 Beacon St #5B,3100000,42.35531,-71.073021,2022
100 Belvidere St #10B,5900000,42.346046,-71.083886,2019
100 Lovejoy Wharf #7J,1700000,0,0,2018
40-42 Symphony Rd,3775000,42.342849,-71.088408,2002
100 South St #1,455000,42.351004,-71.057175,2013
185 Devonshire St #503,655000,42.356022,-71.057339,2017
100 Summer St,8.06e+08,42.353622,-71.057662,2019
100 Beacon St #PHB,9e+06,42.355395,-71.073063,2012
321 Harrison Ave,114200000,42.34555,-71.063712,2017
101 Beacon St,7750000,42.355292,-71.072767,2014
99-105 Broad St #4D,590000,42.357369,-71.052621,2017
101 Prince St #3,499000,42.365871,-71.056315,2006
101-103 Summer St,11500000,42.35349,-71.057826,2011
101-111 Summer St,37400000,42.35345,-71.057588,2019
343 Commercial St #101,706000,42.366097,-71.051114,2011
40 Battery St #102,1255000,42.366496,-71.051362,2007
102 Chandler St,5450000,42.346289,-71.073103,2018
102 Charles St #102,1e+06,42.358816,-71.070851,2009
102 Commercial St #3,629000,42.361896,-71.052821,2009
102 Saint Botolph St,2250000,42.246694,-71.177759,2017
19-21 Essex St,1840000,42.352351,-71.061964,2000
4 Charlesgate E #401,1050000,42.349847,-71.091522,2021
103-111 Arch St,2200000,42.355538,-71.058125,2013
103 Marlborough St #8,375000,42.353487,-71.076713,2010
103 Warren Ave,2500000,42.344601,-71.073723,2020
105 Appleton St,3250000,42.345411,-71.074062,2019
105 Beacon St #4,610000,42.355225,-71.072979,2019
105 Beacon St #9,470000,42.355225,-71.072979,2015
105 Myrtle St,3102750,42.359429,-71.068358,2021
105 N Washington St,2100000,42.365532,-71.058281,2022
105 Pinckney St,1177465,42.358923,-71.069723,2009
70 Marlborough St #9,910000,42.35373,-71.075118,2019
104 Chestnut St,2280000,42.356571,-71.071501,2016
106 Prince St,1810100,42.365766,-71.05655,2012
106 Tyler St,3010000,42.348253,-71.061579,2017
107 Jersey St #20A,3e+05,42.342918,-71.097177,2019
107 Pinckney St,1049629,42.358921,-71.069833,2009
108-116 Richmond St,5e+06,42.36288,-71.053893,2010
149 North St,9e+05,42.362241,-71.054721,2012
1084 Boylston St,1675000,42.346908,-71.088836,2007
348 Newbury St,3666667,42.348329,-71.087034,2022
109 Appleton St,2135000,42.345374,-71.074203,2014
109 Beacon St #4,649000,42.355142,-71.073285,2010
1091 Boylston St #1,177000,42.347058,-71.088989,2011
1091 Boylston St #32,188000,42.347058,-71.088989,2011
1091 Boylston St #35,230000,42.347058,-71.088989,2014
1 Charles St S #10C,2195000,42.351787,-71.067367,2015
28-30 Phillips St,2225000,42.360257,-71.067722,2012
11 Avenue De Lafayette,22925000,42.246694,-71.177759,2021
11 Anderson St,1485000,42.360642,-71.067809,2021
9-11 Beacon St,1.6e+07,42.358359,-71.061913,2010
11 Belvidere St,4500000,42.346266,-71.08654,2017
11 Concord Sq,200,42.341056,-71.078459,2009
11 Gloucester St #4,1100000,42.351046,-71.084946,2020
31 Greenwich Park,3700000,42.335651,-71.083973,2017
11 Hereford St,850000,42.351084,-71.086933,2004
11 Park Dr #19,579000,42.344604,-71.094755,2017
11 Rutland Sq,3e+06,42.341386,-71.077706,2016
9-11 Worcester Sq #4,1500000,42.33597,-71.073825,2014
55 Revere St,2e+06,42.359661,-71.068441,2008
110 Canal St,2.4e+07,42.364741,-71.060509,2021
112-118 Canal St,2.4e+07,42.364757,-71.060529,2021
